"Date","Area","OSgrid","longitude","latitude","Alt","Aspect","Incline","Location","Obs","FAH","OAH","Air.Temp","Wind.Dir","Wind.Speed","Cloud","Precip.Code","Drift","Total.Snow.Depth","Foot.Pen","Ski.Pen","Rain.at.900","Summit.Air.Temp","Summit.Wind.Dir","Summit.Wind.Speed","Max.Temp.Grad","Max.Hardness.Grad","No.Settle","Snow.Index","Insolation","Crystals","Wetness","AV.Cat","Snow.Temp"
2009-12-27 13:15:00,"Creag Meagaidh","NN441870",-4.56466127546306,56.9479108685673,"950",170,25,"Creag Mhor Ridge","WS /FS","Considerable +","Moderate","-2.3",45,10,90,"2 - Trace","1",80,35,NA,0,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
2009-12-28 13:30:00,"Creag Meagaidh","NN486901",-4.49261883717098,56.9772271676462,"600",130,30,"Coire nan Gall","WS","Considerable +","Moderate","-2.4",NA,NA,20,"0 - None","0",45,30,NA,0,NA,NA,NA,32,4,NA,NA,NA,NA,NA,NA,NA
2009-12-29 13:30:00,"Creag Meagaidh","NN445897",-4.5597544537382,56.9722761270302,"860",170,33,"Back wall. Coire Chriochairein","TR","Considerable +","High","-5",360,10,100,"2 - Trace","1",75,28,20,0,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA
2009-12-30 12:45:00,"Creag Meagaidh","NN448860",-4.55255245183925,56.9391718321746,"700",218,30,"Creag Mhor Ridge","TR","High","High","-2",90,35,100,"4 - Light Showers","1",76,50,25,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2009-12-31 14:00:00,"Creag Meagaidh","NN463897",-4.53017567022328,56.9728781654392,"700",200,34,"Below Min indow","WS / AS","High","High","-2.5",20,10,70,"4 - Light Showers","1",54,45,NA,0,NA,NA,NA,32,2,NA,NA,NA,NA,NA,NA,NA
2010-01-01 13:30:00,"Creag Meagaidh","NN474888",-4.51155523735608,56.9651654728923,"600",180,32,"Na Cnapanan","WS / TR","High","High","-1",45,20,100,"6 - Snow Showers","1",45,40,NA,0,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2010-01-02 14:10:00,"Creag Meagaidh","NN445898",-4.55981605315743,56.9731735559875,"985",220,30,"Coire a Chriochairein","WS /FS","High","Considerable +","-6",150,5,2,"","1",71,20,NA,0,NA,NA,NA,16,2,NA,NA,NA,NA,NA,NA,NA
2010-01-03 13:45:00,"Creag Meagaidh","NN444895",-4.56127441857986,56.9704476194269,"800",110,37,"lifa Gully, Coire Chriochairein","TR","High","Considerable +","-2.4",360,10,90,"2 - Trace","0",70,40,25,0,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA
2010-01-04 13:30:00,"Creag Meagaidh","NN472898",-4.51544638109581,56.9740740237921,"860",135,34,"Carn Liath","TR","High","High","-4",360,10,100,"2 - Trace","0",87,23,15,0,NA,NA,NA,20,2,NA,NA,NA,NA,NA,NA,NA
2010-01-05 13:45:00,"Creag Meagaidh","NN468897",-4.52195913687014,56.9730441581833,"850",190,30,"Cairn Liath","WS /AS","High","Considerable +","-3.4",15,35,100,"8 - Snow","1",105,34,NA,0,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA
2010-01-06 13:30:00,"Creag Meagaidh","NN476887",-4.50820892503411,56.9643339740807,"600",180,30,"Na Cnapanan","TR","Considerable -","Considerable -","-2",NA,5,0,"0 - None","0",75,50,25,0,NA,NA,NA,13,1,NA,NA,NA,NA,NA,NA,NA
2010-01-07 14:00:00,"Creag Meagaidh","NN471899",-4.51715032598274,56.9749384118794,"860",150,27,"Cairn Liath South Slopes","WS /AS","","Considerable -","-4",25,5,10,"0 - None","0",70,30,NA,0,NA,NA,NA,10,2,NA,NA,NA,NA,NA,NA,NA
2010-01-08 14:00:00,"Creag Meagaidh","NN445895",-4.5596312656681,56.9704812685977,"790",115,31,"Coire Chriochairein","TR","Considerable -","Considerable -","-4.5",NA,10,0,"0 - None","1",70,30,25,0,NA,NA,NA,15,2,NA,NA,NA,NA,NA,NA,NA
2010-01-09 13:00:00,"Creag Meagaidh","NN470895",-4.51855128241306,56.971315488998,"800",194,31,"Carn Liath","TR","Considerable -","Moderate","-2.5",90,10,95,"4 - Light Showers","1",70,30,10,0,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA
2010-01-10 14:15:00,"Creag Meagaidh","NN461901",-4.5337061537898,56.9764014051715,"920",290,28,"Cairn Liath Sharks Gultch","WS /AS","Considerable +","Considerable -","-5.6",45,20,5,"","1",100,20,NA,0,NA,NA,NA,22,3,NA,NA,NA,NA,NA,NA,NA
2010-01-11 13:15:00,"Creag Meagaidh","NN472888",-4.5148411939538,56.9650994195921,"600",270,39,"Na Cnapanan","WS/AS","Considerable -","Considerable -","-0.6",90,20,90,"2 - Trace","1",77,37,NA,0,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA
2010-01-12 12:45:00,"Creag Meagaidh","NN451893",-4.54964957232221,56.9688878379006,"600",200,24,"Boundary Wall , Coire a Chriochairein","WS /FS","Considerable -","Considerable +","-0.1",120,30,100,"4 - Light Showers","1",110,30,NA,0,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA
2010-01-13 13:00:00,"Creag Meagaidh","NN476887",-4.50820892503411,56.9643339740807,"600",260,32,"Na Cnapanan","TR","Considerable -","Considerable -","-2",150,30,100,"4 - Light Showers","1",80,30,15,0,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
2010-01-14 13:40:00,"Creag Meagaidh","NN456883",-4.54082272322513,56.9600806703024,"800",300,35,"Sron a Ghoire","WS /FS","High","High","-1.2",150,5,100,"4 - Light Showers","1",170,35,NA,0,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA
2010-01-15 13:30:00,"Creag Meagaidh","NN432885",-4.58037112369275,56.9610679944515,"780",360,37,"Wee Gutter, Inner Coire of Coire Ardair","TR","High","Considerable -","1.7",180,30,100,"4 - Light Showers","1",80,40,20,1,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
2010-01-16 13:30:00,"Creag Meagaidh","NN462898",-4.53187989525077,56.9737423505297,"830",220,32,"Balloon Gully","TR","Considerable -","Moderate","2",190,25,100,"2 - Trace","0",87,32,7,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
2010-01-17 13:30:00,"Creag Meagaidh","NN462882",-4.53090545728154,56.9593831564094,"600",100,30,"Sron a Ghoire","WS /FS","Considerable +","Moderate","2",180,5,90,"","0",29,20,NA,1,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-01-18 12:45:00,"Creag Meagaidh","NN464895",-4.52841068105095,56.9711165053874,"600",130,30,"Balloon Gully","WS","Moderate","Moderate","3.5",300,20,80,"2 - Trace","1",40,30,NA,0,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-01-19 12:30:00,"Creag Meagaidh","NN475893",-4.51021421186619,56.9696857883194,"600",280,30,"Na Cnapanan","WS","Moderate","Moderate","0.2",165,20,80,"0 - None","1",NA,2,NA,0,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-01-20 13:00:00,"Creag Meagaidh","NN459871",-4.53516285084865,56.9494113542723,"600",100,35,"Creag Bheag, Sron a Ghoire","WS","Moderate","Moderate","0.2",165,30,100,"2 - Trace","1",30,2,NA,0,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA
2010-01-21 13:25:00,"Creag Meagaidh","NN455882",-4.54240429088281,56.9591498290443,"840",350,33,"NE gullies , Sron a Ghoire","TR","Considerable +","Considerable -","-1.9",145,35,100,"4 - Light Showers","1",74,20,NA,0,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA
2010-01-22 13:45:00,"Creag Meagaidh","NN446875",-4.55675780577798,56.9525662509756,"970",360,36,"Top of headwall. Corrie Gamhna","TR","Considerable -","Considerable -","0",165,5,90,"2 - Trace","0",80,22,9,0,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-01-23 13:35:00,"Creag Meagaidh","NN463902",-4.5304801534782,56.9773654111126,"930",320,31,"Uinneag Coire a Chaorainn","TR","Considerable -","Considerable -","-0.7",45,25,100,"4 - Light Showers","1",100,25,12,0,NA,NA,NA,14,2,NA,NA,NA,NA,NA,NA,NA
2010-01-24 13:00:00,"Creag Meagaidh","NN462899",-4.53194082779431,56.9746397987022,"870",220,41,"Balloon Gully, Coire Ardair","TR","Moderate","Moderate","-2",80,15,90,"4 - Light Showers","1",74,22,NA,0,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA
2010-01-25 13:45:00,"Creag Meagaidh","NN445398",-4.5294582390448,56.5244375671802,"930",200,40,"Carrie's Gully, Creag Mhor ridge","TR","Considerable -","Moderate","-3.8",200,25,100,"0 - None","1",61,25,NA,0,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA
2010-01-26 13:30:00,"Creag Meagaidh","NN433880",-4.57841831622998,56.9566148021157,"850",45,37,"Botom of Easy Gully, Coire Ardair","TR","Considerable -","Considerable -","5",180,25,100,"0 - None","0",65,13,NA,1,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-01-27 14:00:00,"Creag Meagaidh","NN433864",-4.57742662869498,56.9422560890783,"870",20,30,"Above Lochain Coire Choile Rais","TR","Considerable +","Moderate","8",270,35,100,"0 - None","0",80,20,NA,1,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-01-28 12:30:00,"Creag Meagaidh","NN454880",-4.54392459587189,56.95732152616,"880",110,37,"Bealach a Ghoire","TR & WS","Considerable -","Considerable +","-1",320,30,100,"2 - Trace","1",80,12,NA,0,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA
2010-01-29 12:45:00,"Creag Meagaidh","NN448898",-4.55488621800449,56.9732743844192,"910",160,34,"Wall Gully, Coire Chriochairein","TR & WS","Considerable +","Considerable -","-4.9",350,35,90,"6 - Snow Showers","1",60,30,NA,0,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA
2010-01-30 13:25:00,"Creag Meagaidh","NN443895",-4.56291756790036,56.9704139486912,"850",100,41,"LLifa Gully, Coire Chriochairein","TR","Considerable +","Considerable -","-5",320,25,50,"6 - Snow Showers","1",100,31,NA,0,NA,NA,NA,24,2,NA,NA,NA,NA,NA,NA,NA
2010-01-31 13:50:00,"Creag Meagaidh","NN450901",-4.55178387151938,56.9760337985459,"950",170,33,"The Min Window","TR","Considerable -","High","-5",320,35,80,"4 - Light Showers","1",70,31,NA,0,NA,NA,NA,12,2,NA,NA,NA,NA,NA,NA,NA
2010-02-01 13:30:00,"Creag Meagaidh","NN454879",-4.54386341557095,56.9564240838132,"870",80,31,"Bealach a Ghoire","TR","Considerable +","Considerable -","-2.1",250,25,100,"8 - Snow","1",80,40,NA,0,NA,NA,NA,17,2,NA,NA,NA,NA,NA,NA,NA
2010-02-02 16:30:00,"Creag Meagaidh","NN427885",-4.58858464705621,56.9608981891647,"900",100,34,"The Window","TR","Considerable -","Considerable -","-2.8",350,30,20,"2 - Trace","1",100,40,NA,0,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA
2010-02-03 13:10:00,"Creag Meagaidh","NN450899",-4.55166104913917,56.9742389300454,"900",120,30,"Min Window","KM","Considerable +","Considerable +","-4.8",140,10,100,"0 - None","0",205,30,NA,0,NA,NA,NA,22,1,NA,NA,NA,NA,NA,NA,NA
2010-02-04 13:05:00,"Creag Meagaidh","NN448897",-4.5548247368898,56.9723769520253,"910",90,33,"Wall Gully, Coire Chriochairein","TR","Considerable -","Considerable -","0.5",190,15,20,"8 - Snow","1",120,40,NA,0,NA,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA
2010-02-05 11:00:00,"Creag Meagaidh","NN426885",-4.59022734085625,56.9608641634394,"960",300,29,"The Window. Summit","TR","Moderate","Moderate","1",145,35,100,"4 - Light Showers","0",80,28,NA,0,NA,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA
2010-02-06 13:15:00,"Creag Meagaidh","NN463895",-4.53005390176154,56.9710832659678,"750",220,35,"Cairn Liath","WS","Moderate","Moderate","1.5",90,10,100,"","0",30,15,NA,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-02-07 13:15:00,"Creag Meagaidh","NN448895",-4.55470178540815,56.97058208672,"750",160,30,"Coire a Chriochairein","WS","Moderate","Moderate","0",90,5,100,"","0",62,5,NA,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-02-08 13:30:00,"Creag Meagaidh","NN460870",-4.53345967809122,56.9485472019981,"600",100,30,"Col Creag Bheag","WS","Moderate","Moderate","-0.1",110,5,90,"","0",58,0,NA,0,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
2010-02-09 14:00:00,"Creag Meagaidh","NN434887",-4.57720967227718,56.9629306022578,"800",160,35,"Poite Coire Ardair","WS","Moderate","Moderate","0",45,15,70,"","1",NA,12,NA,0,NA,NA,NA,14,4,NA,NA,NA,NA,NA,NA,NA
2010-02-10 14:00:00,"Creag Meagaidh","NN495918",-4.47884124044703,56.9927783581526,"900",160,25,"Coire Dubh","WS","Moderate","Moderate","-2.8",280,5,70,"2 - Trace","1",NA,5,NA,0,-4,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA
2010-02-11 14:00:00,"Creag Meagaidh","NN448898",-4.55488621800449,56.9732743844192,"930",110,39,"Boundary Wall Gully. Coire Chriochairein","TR","Moderate","Considerable -","-1.5",350,10,100,"2 - Trace","0",70,30,NA,0,NA,NA,NA,12,3,NA,NA,NA,NA,NA,NA,NA
2010-02-12 14:00:00,"Creag Meagaidh","NN426886",-4.59028964589953,56.9617615725629,"93",175,33,"The Window","TR","Moderate","Moderate","-1.9",360,18,50,"4 - Light Showers","1",50,25,NA,0,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA
2010-02-13 11:05:00,"Creag Meagaidh","NN462899",-4.53194082779431,56.9746397987022,"870",170,41,"Top of Balloon Gully","TR","Considerable -","Moderate","-1.1",350,7,100,"2 - Trace","0",102,27,NA,0,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA
2010-02-14 13:40:00,"Creag Meagaidh","NN426885",-4.59022734085625,56.9608641634394,"950",10,35,"The Window","KM","Considerable +","Considerable -","0.4",280,10,100,"4 - Light Showers","0",135,10,NA,1,NA,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA
2010-02-15 12:50:00,"Creag Meagaidh","NN451900",-4.55007908694857,56.9751698898745,"920",100,35,"Min Window","KM","Considerable +","Considerable +","-2.1",270,15,80,"6 - Snow Showers","1",105,30,NA,0,NA,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA
2010-02-16 12:45:00,"Creag Meagaidh","NN427886",-4.58864691269792,56.9617955994477,"900",85,32,"Wee Gutter, the Inner Corrie","TR","High","High","-2",90,5,100,"6 - Snow Showers","1",80,32,NA,0,NA,NA,NA,11,3,NA,NA,NA,NA,NA,NA,NA
2010-02-17 12:45:00,"Creag Meagaidh","NN447897",-4.556467979425,56.9723433652602,"860",220,39,"Backwall Coire Chriochairein","TR, WS","Considerable +","Considerable -","-3.5",100,7,60,"8 - Snow","1",100,52,NA,0,NA,NA,NA,27,2,NA,NA,NA,NA,NA,NA,NA
2010-02-18 13:20:00,"Creag Meagaidh","NN442870",-4.5630191183087,56.9479445537228,"950",240,40,"Creag Mhor Ridge","TR & WS","Considerable -","Considerable -","-3.1",0,5,0,"0 - None","0",70,44,23,0,NA,NA,NA,15,3,NA,NA,NA,NA,NA,NA,NA
2010-02-19 14:00:00,"Creag Meagaidh","NN485906",-4.49456258607157,56.9816817620847,"910",50,42,"No.2 Gully, Coire nan Gall","TR","Considerable -","Considerable -","-5",45,15,50,"0 - None","0",80,25,20,0,NA,NA,NA,17,3,NA,NA,NA,NA,NA,NA,NA
2010-02-20 14:00:00,"Creag Meagaidh","NN425886",-4.5919323754713,56.9617275241216,"940",360,37,"The Window - snowholes site","TR","Considerable -","Considerable -","-8",0,0,0,"0 - None","0",110,42,NA,0,NA,NA,NA,80,2,NA,NA,NA,NA,NA,NA,NA
2010-02-21 13:10:00,"Creag Meagaidh","NN463900",-4.530358349529,56.9755705133584,"860",160,39,"Top of Balloon Gully","TR","Considerable -","Considerable -","-3",175,11,0,"0 - None","0",90,40,NA,0,NA,NA,NA,24,3,NA,NA,NA,NA,NA,NA,NA
2010-02-22 13:15:00,"Creag Meagaidh","NN453877",-4.5453835414006,56.9545957640366,"850",60,32,"Bealach a Ghoire","TR","Considerable -","Considerable -","-7",220,5,0,"0 - None","0",60,35,25,0,NA,NA,NA,21,4,NA,NA,NA,NA,NA,NA,NA
2010-02-23 13:05:00,"Creag Meagaidh","NN459882",-4.53583355014866,56.959283288308,"800",125,42,"Top of NE ridge of Sron a Ghoire","TR","High","High","-1",170,10,0,"0 - None","0",50,12,NA,0,NA,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA
2010-02-24 14:00:00,"Creag Meagaidh","NN451900",-4.55007908694857,56.9751698898745,"930",300,31,"The Min Window","TR","High","High","-4.7",130,45,100,"6 - Snow Showers","1",60,50,NA,0,NA,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA
2010-02-25 13:00:00,"Creag Meagaidh","NN475887",-4.509851872713,56.9643010024611,"610",260,32,"Na Cnapanan","TR","High","High","-2.5",70,35,100,"10 - Heavy Snow","1",100,90,NA,0,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA
2010-02-26 13:10:00,"Creag Meagaidh","NN475887",-4.509851872713,56.9643010024611,"610",190,30,"Na Cnapanan","TR","High","High","-1",45,35,100,"8 - Snow","1",111,50,NA,0,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-02-27 12:45:00,"Creag Meagaidh","NN467892",-4.52329884474226,56.9685237301687,"550",140,28,"Coire Ardair- below Na Canapan","TR","High","High","-0.5",90,20,80,"0 - None","1",74,50,NA,0,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA
2010-02-28 13:30:00,"Creag Meagaidh","NN455883",-4.54246544247397,56.9600472720134,"800",300,39,"NE Gullies. Sron a Ghoire","WS & TR","High","High","-2.4",45,10,10,"0 - None","1",90,27,12,0,NA,NA,NA,5,4,NA,NA,NA,NA,NA,NA,NA
2010-03-01 12:50:00,"Creag Meagaidh","NN472895",-4.51526478792231,56.9713816443299,"700",230,39,"Col between Carn Liath & Na Cnapanan","TR","High","High","0",360,10,10,"0 - None","1",90,35,9,0,NA,NA,NA,20,4,NA,NA,NA,NA,NA,NA,NA
2010-03-02 13:05:00,"Creag Meagaidh","NN461893",-4.5332184205413,56.9692218268063,"500",265,25,"Base of Balloon Gully","TR","High","High","1",NA,2,0,"0 - None","0",100,31,5,0,NA,NA,NA,31,3,NA,NA,NA,NA,NA,NA,NA
2010-03-03 13:10:00,"Creag Meagaidh","NN471895",-4.51690803693239,56.9713485774477,"750",230,34,"SW flank Carn Liath - test pit site","TR","Considerable +","Considerable -","1.5",145,3,40,"0 - None","0",120,15,5,0,NA,NA,NA,23,3,NA,NA,NA,NA,NA,NA,NA
2010-03-04 13:25:00,"Creag Meagaidh","NN416852",-4.60458705769422,56.9309085057754,"800",272,27,"Moy Corrie","TR","High","Considerable -","2",270,2,60,"0 - None","0",220,5,1,0,NA,NA,NA,63,3,NA,NA,NA,NA,NA,NA,NA
2010-03-05 13:35:00,"Creag Meagaidh","NN448896",-4.55476325935778,56.971479519459,"890",195,32,"Boundary Wall Gully","TR","Considerable -","Considerable -","0",330,35,100,"6 - Snow Showers","1",95,40,NA,1,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA
2010-03-06 13:05:00,"Creag Meagaidh","NN444895",-4.56127441857986,56.9704476194269,"860",100,37,"Lifa Gully. Coire Chriochairein","TR/WS","Considerable -","Considerable -","3",NA,3,100,"0 - None","0",85,33,NA,0,NA,NA,NA,8,2,NA,NA,NA,NA,NA,NA,NA
2010-03-07 13:45:00,"Creag Meagaidh","NN449898",-4.5532429324512,56.9733079507617,"940",205,35,"Coire a' Chriochairein East side","KM","Considerable -","Moderate","0",225,5,100,"2 - Trace","0",96,15,NA,0,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA
2010-03-08 13:15:00,"Creag Meagaidh","NN453881",-4.54562841305542,56.9581855292106,"840",310,35,"Sron a' Ghoire NE ridge","KM","Considerable -","Moderate","0.5",NA,0,0,"0 - None","0",64,10,NA,0,NA,NA,NA,13,3,NA,NA,NA,NA,NA,NA,NA
2010-03-09 14:00:00,"Creag Meagaidh","NN443892",-4.56273257616199,56.9677216666302,"900",145,38,"SE Ridge Coire Chriochairein","TR","Moderate","Moderate","3",NA,3,50,"0 - None","0",52,12,NA,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-10 13:10:00,"Creag Meagaidh","NN435863",-4.57408096961093,56.9414263453983,"890",360,30,"Meall Coire Choile Rais","TR","Considerable -","Considerable -","-1",270,3,50,"0 - None","0",78,10,NA,0,NA,NA,NA,27,3,NA,NA,NA,NA,NA,NA,NA
2010-03-11 13:10:00,"Creag Meagaidh","NN453882",-4.54568963988499,56.9590829700735,"850",100,37,"NE Gullies, Sron a Ghoire","TR","Moderate","Moderate","0.7",280,35,100,"4 - Light Showers","1",110,18,NA,1,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA
2010-03-12 13:55:00,"Creag Meagaidh","NN448897",-4.5548247368898,56.9723769520253,"920",120,41,"Boundary Wall Gully, Coire Ardair","TR","Moderate","Moderate","0.3",325,30,80,"2 - Trace","0",80,25,NA,1,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-03-13 11:45:00,"Creag Meagaidh","NN455895",-4.54319953953495,56.9708165742166,"600",180,30,"Below Min Window","WS / TR","","Moderate","4",300,25,100,"","0",42,NA,NA,0,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-14 13:15:00,"Creag Meagaidh","NN463904",-4.53060197162639,56.9791603081799,"920",100,30,"Sharks Gultch, Carn Liath","","Considerable -","Considerable -","1.8",300,20,100,"4 - Light Showers","0",180,20,NA,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-03-15 13:05:00,"Creag Meagaidh","NN443895",-4.56291756790036,56.9704139486912,"870",90,33,"Coire Chriochairein","TR","Moderate","Moderate","1.2",27,40,20,"6 - Snow Showers","1",77,23,NA,1,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA
2010-03-16 16:04:00,"Creag Meagaidh","NN453876",-4.54532233240132,56.9536983223125,"940",95,42,"Re-entrant. Sron aGhoire","TR","Considerable -","Considerable -","0",235,30,100,"","0",100,15,NA,0,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA
2010-03-17 12:20:00,"Creag Meagaidh","NN462899",-4.53194082779431,56.9746397987022,"900",95,38,"Balloon Gully, Coire Ardair","TR","Considerable +","Considerable +","3.5",225,40,80,"6 - Snow Showers","1",76,35,NA,1,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-03-18 13:10:00,"Creag Meagaidh","NN435863",-4.57408096961093,56.9414263453983,"900",360,31,"Shoulder of Meall Coire Choile Rais","TR","Considerable +","Considerable +","4",225,40,100,"0 - None","0",100,31,NA,1,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-19 12:45:00,"Creag Meagaidh","NN426886",-4.59028964589953,56.9617615725629,"880",100,34,"The Window, Inner Coire","TR","Moderate","Moderate","0.9",270,NA,100,"4 - Light Showers","0",84,30,NA,1,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA
2010-03-20 12:05:00,"Creag Meagaidh","NN462899",-4.53194082779431,56.9746397987022,"880",145,40,"Balloon Gully","TR","Moderate","Low","0.9",300,30,80,"2 - Trace","0",100,25,NA,1,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA
2010-03-21 13:05:00,"Creag Meagaidh","NN444873",-4.55991942991523,56.9507041562983,"1020",70,25,"Puist Coire Ardair: E ridge","KM","Considerable -","Moderate","0",230,15,100,"2 - Trace","1",92,1,NA,0,NA,NA,NA,0,4,NA,NA,NA,NA,NA,NA,NA
